commits_30d,contributors_30d,open_issues,closed_issues_30d,open_prs,avg_commit_frequency,code_churn_rate,bug_fix_ratio,urgent_signal_ratio,negative_sentiment_ratio,test_coverage,ci_failures_rate,mean_pr_cycle_time_hours,release_stability_index,issue_to_commit_ratio,bus_factor_inverse,developer_load_index,commit_volatility,issue_momentum,signal_entropy,release_friction_index,socio_technical_strain,remediation_latency,collaboration_imbalance,target_risk
28,47,554,271,60,1.028954931442224,0.40511607377619885,0.17157898535774815,0.48418867714733776,0.06732866512403403,56.3923781258024,0.09441618272058498,34.37088480813444,0.7410087468690209,19.785714285714285,0.14586499149789456,13.063829787234043,0.45714756884801255,0.343030303030303,0.6775766356243574,0.11348993888880256,2.0338539236501854,163.90901503993123,0.09896841148180986,51.73306465844945
247,14,311,298,179,9.093209391167402,0.4021853312036473,0.2790699110573809,0.23689212017237957,0.2645012698020599,84.58614773533945,0.26311438024282074,27.81732111267044,0.562107626307072,1.2591093117408907,0.2672612419124244,35.0,0.6208276132738826,0.021346469622331693,0.8116484194251137,0.2923369880131039,11.828326291849766,9.077297881018403,0.2052290478434135,30.217231597768215
209,17,692,137,1,6.972262487350836,0.12513588504653822,0.5163852826706056,0.21285504251464327,0.33399269884234334,72.62348309538365,0.18606681191299995,10.4624365549773,0.6078929435677238,3.311004784688995,0.24253562503633297,40.76470588235294,0.06919571011763734,0.669481302774427,0.8329292561926154,0.07527866141179644,13.189043637311135,16.012506430236407,0.020354648548201015,39.09732327038266
140,18,44,52,88,4.585932170301532,0.1513888739632123,0.47711996290531056,0.1690380972156833,0.4419980469084802,76.94621583179071,0.08218190609919808,32.54535138247401,0.376885162234123,0.3142857142857143,0.23570226039551587,7.333333333333333,0.2638140406875688,-0.08333333333333333,0.8228853099332041,0.1205901740243288,2.4924694603764843,1.6433372594404525,0.07269261926434384,12.474442707547388
138,10,120,118,109,5.345018530373027,0.17790855468311775,0.40727710274888207,0.0616799480676925,0.28259477547261863,61.7929944896161,0.29199747233320705,5.832694330040624,0.8108132692224902,0.8695652173913043,0.31622776601683794,22.9,0.3456994355056696,0.008403361344537815,0.5965201143591975,0.05625949935182783,9.288058644653946,5.154112150009721,0.11606259733534828,13.611631277513737
274,9,678,322,11,8.448424717304329,0.424284815021614,0.3385987158928945,0.17003742446793807,0.1934400719128124,58.3967462888597,0.041910289507667293,19.267585932374757,0.4120843476256491,2.4744525547445257,0.3333333333333333,76.55555555555556,0.583145362322918,0.356,0.6832014962887338,0.03561827595691701,30.454822575849178,16.36606097170137,0.22743396594090987,45.29881618722808
27,19,202,362,81,2.870113217286313,0.07411365114840224,0.6592824800669772,0.07898184111576922,0.09290290932117029,39.23255254535168,0.04829856685292057,26.163646942290843,0.9881386724751064,7.481481481481482,0.22941573387056174,14.894736842105264,0.4014248626508468,-0.28368794326241137,0.42233364048604205,0.035518205971881905,3.7345443056055947,25.490718157952074,0.09936686832680498,24.391130106456576
223,48,217,374,107,7.6960135680500485,0.49029392010898704,0.33819242263710897,0.30100016376732647,0.4061580914811615,94.75649434332215,0.2795432398825847,32.85760687416409,0.5434616549559056,0.9730941704035875,0.14433756729740646,6.75,0.24876217437538686,-0.2656514382402707,0.9284745586237149,0.3716245061859621,1.3699897075796947,6.440010954607506,0.046713356817713415,10.929215879463623
64,1,553,90,109,2.3999138103197044,0.10818078937092215,0.6461351881118941,0.21805046055232155,0.18989496490403177,86.06314308875058,0.09310492671364842,36.94455965985752,0.840140622918091,8.640625,1.0,662.0,0.23870219776465146,0.7200622083981337,0.7289216866139897,0.11082200275550028,300.0,30.576131402206652,0.290751321922085,95.89259553556188
30,16,132,242,21,1.3675671817808182,0.38987317687883377,0.2664232439306031,0.061707588490006925,0.19692917876406493,81.77374410014563,0.1866889271002061,31.10987608112813,0.8204408806630287,4.4,0.25,9.5625,0.3299329356011041,-0.29411764705882354,0.5249651071361515,0.19029792500846684,2.8614088179828427,32.27737726705347,0.08757307535511924,16.02303537475155
168,4,359,60,49,6.913995532732149,0.34930135267154494,0.5295827058447584,0.3820240515798875,0.3372577812535489,76.57321841407168,0.05354909633731159,17.70216122231333,0.4829843432939544,2.136904761904762,0.5,102.0,0.33967026563135055,0.7136038186157518,0.9408146987978567,0.0399453288074269,68.200146843931,10.052369559626888,0.23471623835452785,43.45369698968257
312,31,200,284,44,10.954755188170825,0.4698516966607922,0.25539644392641564,0.10286884380734046,0.4746387521718613,34.13235614760331,0.05483029540662591,24.50688297560901,0.5648485663068061,0.6410256410256411,0.1796053020267749,7.870967741935484,0.5647994294997183,-0.17355371900826447,0.7380837708328525,0.05356780994030259,2.0846489350086492,4.773099718420413,0.11187608763650839,23.67975512105477
235,14,138,166,115,6.7097941480305865,0.06397655412542597,0.6551209313112571,0.1264329299728819,0.23557851482059547,58.98238119967871,0.10444478071509866,21.131838084602276,0.5885123084705399,0.5872340425531914,0.2672612419124244,18.071428571428573,0.4849036559362885,-0.09210526315789473,0.667591775395026,0.08653635760790439,5.967587773776365,2.0252472969807025,0.14598114938092166,7.326075496666835
243,43,675,285,59,9.082429269337252,0.19366996771089606,0.5426778842451683,0.35398421453778356,0.09726880370199788,66.90270474183146,0.05834601444230719,12.260368603884867,0.6020693718195443,2.7777777777777777,0.15249857033260467,17.069767441860463,0.43006493444090604,0.40625,0.6989268400024008,0.02777779969736022,2.856317025464642,12.703392104300882,0.08880009020308673,36.850781509154835
229,32,139,274,102,7.3947057277218216,0.08517694395962748,0.6306529477924769,0.38814110014793596,0.190213674689448,53.69845835987155,0.06294516428489147,17.901560289953636,0.42046634317274884,0.6069868995633187,0.17677669529663687,7.53125,0.28121012520278155,-0.3268765133171913,0.8327538441709196,0.04944013414249547,1.5845903645668924,2.2418882208229567,0.06900643279023089,18.414598976576855
251,43,66,397,131,8.441675217654193,0.4042091126917131,0.21261676936781512,0.32292833193231285,0.29733536152845463,43.9036487210285,0.148489439308896,36.0792944283355,0.7867738478638046,0.26294820717131473,0.15249857033260467,4.5813953488372094,0.3249495573108373,-0.714902807775378,0.8927733816101384,0.18054807642044426,0.9063914467762643,2.070410088514908,0.06555684421931018,14.543170366215165
164,35,471,195,143,4.571188886143981,0.1470017767399862,0.27591863911694814,0.4467623290773862,0.2986394579431182,55.36219441122171,0.33613881814689517,25.138535107589945,0.5422504487467442,2.8719512195121952,0.1690308509457033,17.542857142857144,0.33755278253381726,0.4144144144144144,0.9357139903158256,0.3421677318337448,3.8508348984498397,20.795263474141308,0.08254767815002519,44.29537611967653
40,24,607,136,33,1.70167474602006,0.31457746270070397,0.24245422171243008,0.43840658335230853,0.18092783880948823,71.7862871775585,0.10916030105331621,38.56399208161319,0.6571651895061081,15.175,0.20412414523193154,26.666666666666668,0.4389184187714297,0.6339165545087483,0.8355641544104021,0.1570242761193464,6.428156951402107,114.95757185513874,0.1288723794364741,61.17852989092231
268,47,89,210,162,8.477371330286047,0.4835847447606415,0.12806641202840544,0.32969346850826836,0.120315046840001,71.79038370431842,0.07097604784614155,8.7162635160429,0.8812706988978927,0.332089552238806,0.14586499149789456,5.340425531914893,0.6044920158595034,-0.40468227424749165,0.7224393323367608,0.019224926000201013,0.8727042753266446,2.895600348114624,0.11724468808664282,5.764868216832706
144,26,495,65,29,4.870118746595431,0.1140934844311358,0.17682895001417986,0.26588922485583893,0.34249106171688515,85.52036534300352,0.18836853287886562,15.37520328367157,0.7943594194854876,3.4375,0.19611613513818404,20.153846153846153,0.4877219791103486,0.7678571428571429,0.8813432218086725,0.09699393491380653,5.306188424780453,28.296504843262568,0.1210824936902686,27.777641030622775
160,52,378,44,3,5.134464029580785,0.5897142904054868,0.39448283167414977,0.23316963786432837,0.24567294980993115,100.0,0.1570620139108269,22.944955711157842,0.55573882930719,2.3625,0.1386750490563073,7.326923076923077,0.42012168013084494,0.7914691943127962,0.7939217520560007,0.14457780272858417,1.2656802226570334,14.305343101698211,0.07184494971288916,34.12342806786507
118,54,581,207,8,5.28084229454843,0.13540847062688358,0.2853851974252491,0.6781343140548322,0.5081958579639293,81.97218432156792,0.14190795652227925,26.05239966494578,0.8881864463785775,4.923728813559322,0.13608276348795434,10.907407407407407,0.5446876782676333,0.4746192893401015,0.9531024842373841,0.1141783970054368,2.2386304088357343,35.18569494033307,0.12438768605268713,44.16829065552877
58,32,88,330,36,3.320915543435246,0.44311951021020196,0.358766910621828,0.22145305034112772,0.0642719723084711,68.19120505828602,0.0779477226834427,17.89055118563737,0.8131079546114176,1.5172413793103448,0.17677669529663687,3.875,0.6514638474255708,-0.5789473684210527,0.5534932591742655,0.04597649613544089,0.7290366183759107,9.729053769875712,0.14066696233093431,8.914525190523781
296,37,683,213,157,9.899225885816985,0.13462584115732304,0.27983751380433736,0.057009193895015485,0.24409312140099337,99.805224192987,0.11491027228890234,26.604758107763686,0.5388310497065708,2.3074324324324325,0.1643989873053573,22.7027027027027,0.09303193338057172,0.5245535714285714,0.5586186512336664,0.1240840907127401,4.643330415902236,16.61726277269046,0.016166274520710542,24.56556861822172
250,14,433,312,37,8.378117731291532,0.6702300510006781,0.28584350371027145,0.05391333788823211,0.32977279300009454,45.68901715308958,0.23000704179247053,26.53310161827367,0.5771904367540089,1.732,0.2672612419124244,33.57142857142857,0.15737336901510487,0.16241610738255033,0.608743783853381,0.24119784737080174,11.931175872551607,12.369190515738097,0.04432738636618689,36.973403086253256
206,44,589,71,124,6.605256590222005,0.34098523118850915,0.4529342222973181,0.27712377699025187,0.2659246808266073,37.73851042212952,0.14057182784177447,5.814732398603095,0.8801008247994149,2.8592233009708736,0.15075567228888181,16.204545454545453,0.44426756381060356,0.7848484848484848,0.8435289623270729,0.0254275460040934,3.092561765222697,15.641832187712604,0.08553645723477458,42.34577639379952
